Ulasan,Sentimen,Deteksi_Bahasa
hp bagus sesuai layan sangat lama walaupun overload harus kalau official store layan tetap maksimal jangan lelet sangatt sayang,negatif,id
seller super lemmottidak recommend banget,negatif,id
seller tepat kirim hari pdhal tanya kan order,negatif,id
h2 baru kirim padahal deskripsi langsung kirim,negatif,id
bintang 1 seller ramah sabar jujur krna barang emang betul repack jujur nya kurang halus baru cek authorized dealer samsung ternyat,negatif,id
100 persen palsu jual kata original cas pdhl kasih hadiah orang sial emang,negatif,id
kirim pihak ekspedisi jt sangat parahpaket sasar kota2 jadi paket lama baru,negatif,id
barang terima pertama nyala masalah 30 menit dipake tiba2 layar mati sekarang nyala,negatif,id
chat bilang segel pabrik dus coklat nyata barang paking ulang chat lama respon suruh cek cctv lama compline buat tuker malah perribet,negatif,id
nyala,negatif,id
rasa ditipusecara umum laptop masalah tas tulis deskripsi kata kirim alas stock habis kalo nanti dik,negatif,id
kirim barang repack dikomplen jual merespon not recomended,negatif,id
kardus tambah untung barang aman,negatif,id
segel buka sangat kecewa,negatif,id
kecewa segel repacking antar kurir grab jam 1600 baru proses parahh padahal alamat kantor tutup jam 1800 trpaksa ngasih ongkir lebih gra,negatif,id
produk gunasudah beli kirim dus tambah,negatif,id
warna barang kirim sesuai pesan,negatif,id
sim card baca,negatif,id
bilang segel garansi jalan buka garansi jalan 4 bulan lalu solusi moga kendala wth dus beda sama ibox stike,negatif,id
bubble kurang tebal jadi barang kurang aman,negatif,id
produk asli packing rapi seller jujur penting barang dagang nya jual waktu bayar tanya warna biru kata stock koson,negatif,id
pengirimanya terlalu lama,negatif,id
baterei box,negatif,id
dus penyok 1,negatif,id
nama barang murah wajar klo kualitas jelek,negatif,id
beli dua beli pertama jalan lancar beli dua produk masalah gambar jual lepas tanggu,negatif,id
barang rusaksensor kepala fungsi,negatif,id
tau casing original bawa box kupang sini ada jual casing hp seri c20 salah paham apa jual,negatif,id
beli 3 penyok semua,negatif,id
beberapa kali order beberapa kali dus logo samsung,positif,id
faktur harga 425700 bayar 430000 oke mungkin buat untung seller mungkin dropshipper hehebtw tks,positif,id
sen black gold dateng black semua udah lanjur buka jadi yasudahlah pasrah,positif,id
handphone terima baik lengkap headset,positif,id
barang sih cuman salah warna kan catat warna warna hitam datang malah warna emas sudah walapun kecewa,positif,id
tambah bubble wrap beda,positif,id
fast respon ramah barang masalah tapi butuh bantu niih kalo hp kok udah sinyal padahal kartu sim nya pas masuk kartu sim eh malah,positif,id
kali packingnya asal dus penyok parah,positif,id
packing rapi segel utuh pas dinyalain udh terinstall bbrp aplikasi pihak tiga reset factory settings biar bersih produk original bagus meng,positif,id
kirim jne yes sampai 2 hari packing lumayan peyok barang oke sesuai pesan,positif,id
barang bagus moga awet cuman kirim nya lama,positif,id
barang bagus kirim lama,positif,id
barang nya proses nya lama banget sen sabtu baru kirim rabu jadi yaa hrs sabar aj klo beli toko padahal klo chat cepet banget jwbnya,positif,id
kecil pasang langsung hp beli,positif,id
kemas cukup rapi boxnya serta tutup plastik jadi buka belum,positif,id
layar banyak bekas sidik jari,positif,id
paking kurang tebalsampai tempat penyok,positif,id
proses lambat tokopengiriman kurir cepatseller slow respons,positif,id
kecil a50 sesuai deskripsi sih,positif,id
hp satu kotak penyok asa stok lama stiker garansi tam moga bener2 garansi resmi,positif,id
barang double stiker,positif,id
baterenya awet bom tengah hari udah habis,positif,id
sayang freenya serta tulis deskripsi,positif,id
bubble kurang tebal,positif,id
lama pengirimannnya,positif,id
seller kurang responsiffngirimnya lelet professionalbanyak alesan,positif,id
lumayan buat hp cadang soal kualitas sesuai harga,positif,id
payah cuma beli buat bungkus aeaudah buang,positif,id
kaga tebel unit penyok,positif,id
barang kondisi segel plastik wrap dus buku lengkap bahasa inggris indo sayang kartu garansi temu masuk headset,positif,id
layan jual bagus cover belakang lem angkat lanjut claim garansi sisa 25 bulan overall hape oke moga masalah lain waktu terima kasih,positif,id
nota beli kurang respon,positif,id
layar bawah kanan garisgaris,positif,id
barang segel dichat kata segel layar baret smoga yang segel baret trimakasih,positif,id
barang original packingnya kurang tebal dapet kurir anter aja dus penyok2 parah dua,positif,id
barang normal tes lama 1 hari klu bilang barang baru sangat ragu lengkap keluh customer sama masalah nya barang,positif,id
ungu habis lama kata klik masuk keranjang ubah spy ada korban spt waktu tanya redi bilang nya,positif,id
tempat setip gratis om jgn pelit2 sama buble,positif,id
pesan warna putih kali kali minta putih deh note chat memang pilih produk biru konfirmasi warna minta putih pas sampe biru s,positif,id
jual garansi tam tulis gambar kardus gpp uji samsung a20 4000mah dipake 2 kali sisa 1 lampu panas,positif,id
barang original terima baik seller chat lama dibales,positif,id
sedikit kecewapesan wrna black bilang nya eh gilir udah transfer kata kosongtinggal white,positif,id
sesuai warna pes,positif,id
produk original kirim lambat pake someday nyampe nya 3hari moga awet,positif,id
kualitas barang dh pakai 2hari seller fast respon hnya proses emas lama order jam 11 pakai instant chat info nya lngsung kirim barang baru,positif,id
handphone kondisi baik sayang seller kirim telat hari its lah,positif,id
layan yang aneh produk nya order tanggal 29 jun proses cetak nota tanggal 30 jun barang terima ada segel kata repac,positif,id
lama proses kirim,positif,id
kabel sedia beda terang gambar transaksi,positif,id
anti gores nya pdahal kan anti gores biasa bawa pabrik nya,positif,id
barang kirim sayang sesuai judul garansi tam cuman garansi xioami indonesia,positif,id
barang fungsi baik cuman pesan jumat pagi barang baru kirim hari senin hari rabu malam,positif,id
kirim lama beli jumat pagi baru kirim senin sore,positif,id
sujud bunyi kirim cek diperiksahadew bukan harga 10 ribu gan,positif,id
terima kasih atas kirim hp nya moga guna karna waktu terima batre nya kembung mau retur makan waktu paksa beli batre aja sendiri keluar du,positif,id
respon bole cepat ngirim barang lama,positif,id
yah lumayan lah,positif,id
waktu tanya seller kabel type c nya malah suruh cek deskripsi nyata kabel cacat jadi dimasukin sampe mentok malah charging biasa,positif,id
awal beli jam kesan bagus sesuai harga baru pakai bbrp hari kemudian muncul masalah charge jam tangan coba konsultasi jual ka,positif,id
pesan masalah kurir trimks bantu super store,positif,id
proses minta ampun lama banget atc senin malam proses selasa sore klo jemput ekspedisi tadi malem sampenya skrg kamis jgn males kasi beli,positif,id
satang cover bukan tulis legend never surrender,positif,id
terima kasih barang terima,positif,id
segel rusak mudah mudah masalah,positif,id
kepala cas fungsi,positif,id
segel sendiri teryata pikir segel realme,positif,id
kirim barang lama,positif,id
batre sering errorlow bat cas penuh lambat klo buat downloaddimaklumi krna memang hrga minim,positif,id
paket udah ragu sama cas nya tadi cas hp nya baterai 25persen entah carger imitasi original,positif,id
packing kurangbanyak penyok entah bubble warp nya kurang bagus kurang banyak,positif,id
packing kurang aman barang penyok depan kk,positif,id
lama banget sampai,positif,id
packaging aman respon jual top jual ramah banget lengkap sesuai barang original kendala ekspedisi lambat,positif,id
pesan sabtu selasa br kirim barang oke,positif,id
first impression oke tanya2 produk balas cepat sama sellernya h1 udah chat konfirmasi mau beli 3 unit kirim besok pakai ojol instant karna butuh,positif,id
kirim nya terlalu lamatapi barang original kemas segel,positif,id
jual varian warna beli warna gray 4 unit kirim blue semua konfirmasi dulu kelas os loh,positif,id
beli dus tambah kirim pake buble fungsi produk kardus tambah apa kalau beli kirim dus tambah,positif,id
bawah kamera nya sedikit lecet bawah warna hitam lecet prabrik kurang untung kilas tampak video unboxing jadi pasrah ajakemasan,positif,id
barang repack tahu segel double segel asli tumpu segel moga barang awet kendala deh,positif,id
order jam 8 pagi pke instan eh kirim jam 4 soresampe jam 5kburu cancel order customer,positif,id
dus penyok gpp lah alhamdulillah hpnya aman ajh kirim cpat,positif,id
sinyal bluetooth suka putus padahal dekat,positif,id
kirim nya lama padahal instant kurir,positif,id
kondisi barang baik selamat baik guna rim lambat datang tepat waktu saran mohon tin,positif,id
layan kirim tingkat,positif,id
barang gores dikit,positif,id
barang bagus respon tingkat yah respon lama awal minta hitam bilang ready pas sore bilang kosong bintang 5 barang bintang,positif,id
paketx udah nyampe bang pungsi baik terima kasih bang,positif,id
barang dik penyok kirim lama,positif,id
order confirm warna hitam barang kirim warna putihsewaktu komplain jawab warna hitam habis,positif,id
realme c2 nya darat selamat sukses buat seller toko,positif,id
produk bagus sayang layan lama order jam 1204 subuh baru proses pickuk grab sameday jam 230 sore baru tmpt jam 9 malam t,positif,id
barang sesuai produk mantap,positif,id
salah kirim warna seller tanggung jawab kali lebih teliti barang kirim terima kasih,positif,id
jual baik moga awet,positif,id
produk terima cepat unit coba mudah2an masalah,positif,id
response cepatproduk garansi tamtop,positif,id
dus beberapa penyok sisa,positif,id
udah nyampe paket gan respon kirim cepat fungsi baik mudah2an awet,positif,id
barang terima dlm kondisi bagus,positif,id
sesuai gambar cuman aneh tulis tam ada kardus depan bagi kartu garansi tam ada kartu garans,positif,id
produk paket kan rapi cepat responya,positif,id
ma kasih gan sukses selalu,positif,id
okbrg original bergaransipacking aman delivery cepat,positif,id
kecewa kirim telat pdhl order pake instant kurirbaru terima hari dua,positif,id
warn sesuai judul dateng warna gold,positif,id
denger lagu nonton si buat telp suara dengar kecil lawan bicara,positif,id
finally nyampe barang gosend ny masalah kemaren respon jual cukup bagus produk bagus moga awet deh terima kasih,positif,id
original tam brdsarkan kotak ad tempel cm kok kepala chargernya ragu over all fungsi baik,positif,id
barang kurang bonus nya,positif,id
packing cukup tebal dus tetap penyok bagi ujung bawah segel bawah lihat double,positif,id
produk oke akhir hari sama seller sangat slow response wa proses hari sama btw thanks,positif,id
produk semiga awetaamiin,positif,id
barang original barang sesuai moga awet thanks,positif,id
mantap kirim cepat,positif,id
kirim cepat barang mulus packing rapi guna bubble wrap kardus,positif,id
makasih gan sabar proses mantap,positif,id
terima kasih respon seller sangat cepat ramah hp terima sesuai pesan paking rapih baru unboxing coba semua fungsi hp nya smoga awet very r,positif,id
barang baguspacking rapirespon cepat,positif,id
tau tambah bubble karen begitu tebal jelas emas aman alhamdulillah,positif,id
kirim cepat pesan jam 10 rumah jam 3 sore balas chat nya lama overall moga barang nya awet terima kasih,positif,id
respon jual lama produk sesuai deskripsi,positif,id
barang selamat fungsi baik kurang komunikasi pihak jual kartu perdana padahal sempat tanya pasti mungkin,positif,id
best la walaupun lama banget kirim,positif,id
hape fungsi baik,positif,id
produk respon kirim kurang,positif,id
produk respon kirim kurang,positif,id
barang sesuai deskripsi proses kirim nya lama,positif,id
mantap betul moga awet,positif,id
magnet kuat hp suka putar sendiri,positif,id
barang sesuai sayang responnya lot,positif,id
lama ngirimnya,positif,id
lumayan lah karna luar ny pake kardus,positif,id
terima kasih gan,positif,id
toko bagus kirim cepat belanja sini aja buat barang terlalu recomended sound qualitynya gai enak,positif,id
sesuai harga sesuai review internet,positif,id
terima kasih,positif,id
bintang 4 aja dulu bagus walo penyok dikit kardus,positif,id
cukup baik terima kasih,positif,id
barang dah sesuai pesan cuman jne nya lelet sen pakai yes kirim pakai reguler lebih nya barang bagus reami tam,positif,id
purely product review tadi mau les piano anak umur 4 pas libur keluar kota kurang efektif tekan tuts tepat posisi pak,positif,id
garansi resmi barang original kemas segel warna sesuai pesan dapat nota beli,positif,id
kayak engsel 360 derajat tdnya ken dipake mode tablet ter,positif,id
moga awet tahan lama deh ajak kerjasama kerja aamiin,positif,id
barang original kemas segel warna sesuai pesan spesifikasi sesuai garansi resmi lengkap sesuai barang mulus,positif,id
barang original buka segel cuman kecewa soal pesan warna black kirim rainbow,positif,id
barang original suara bagus garansi by sistem habis moga masalah mesti klaim service samsungnya,positif,id
garansi jalan 14feb2023 padahal beli tanggal 17mei2023,positif,id
akhir suara jalan benar sendiri seller responsif recommended beli sini,positif,id
proses kirim cepat paking bagus soal nambah beli hp kecil ramping enak pegang drpd redmi 10c lebih panjang cas cepat 20100,positif,id
barang original oke garansi samsung original cuman punya segel udah sobek jadi ragu pas pertama cek aman jdi oke,positif,id
makasih sesuai pesan moga manfaat,positif,id
kirim barang rusak minta tuker cuma service doang pdahal rusa buka akibat beli,positif,id
barang original garansi resmi lengkap sesuai barang mulus fungsi baik,positif,id
produk originalharga produk sangat baekrespon jual sangat ramah,positif,id
sesuai pesan terima kasih,positif,id
barang sesuai pesan original prnh buka proses pesan lama,positif,id
produk bagusdan normal cacat jugamoga awet thx min,positif,id
barang terima packing baik guna bubble wrap hp fungsi baik lama 1 bulan isi kotak lengkap in shaa allah original barang,positif,id
barang sesuai gambar oke keren suara bagus packing rapi waktu kirim cepat,positif,id
recommended seller barang sesuai pesan,positif,id
mantap fungsi normal smw sesuai deskripsi,positif,id
barang sesuai kirim lambat 4 hari baru,positif,id
seperti produk lama box kotor penyok2 unit nya coba masalah,positif,id
kirim cepat kasih bubble warp banyak banget jadi barang aman kendala tpi barang tidak stiker tam nya,positif,id
udah beli 2 kayak kurang banyak gan,positif,id
hp darat selamatwarna minta sesuaiharga beli nota nyata beda lebih murah nota saran kalo jangan pake kurir anteraja,positif,id
barang sesuai pesan dikit was2 barang datang karna cuma buble wrap pdhl 5unit,positif,id
alhamdulillah barang barang packing aman,positif,id
biasa 4 dulu ntar klo uda cek aman tambah barang sesuai iklan packing rapi trima kasih,positif,id
barang sesuai packing rapi masalah kirim lambat kata faktor gudang mungkin 1212 jadi seller kewalahan slow r,positif,id
produk asli jelas copot dri a80 blackpink edition jdi protes banyak2 malah lebih murah dri versi biasa item cma layan,positif,id
produk oke cuma admin update stok barang waktu kirim telat,positif,id
alhamdulillah produk sesuai deskripsi recomended seller,positif,id
bagus sesuai sama dingiinkan,positif,id
barang sesuai pesan,positif,id
respon nya lumayan cpt barang udh,positif,id
kirim cepat kualitas original baru nota beli meski harga tokped nota beda benar nilai muas csadmin,positif,id
order sabtu baru proses hari senin,positif,id
sesuai pesan warna pilih putih datang hitam tak apa,positif,id
cepat responsif sellernya harga sesuai budget next kalo harga cocok model ngintip sini dulu laaahtambahkan bonus lebih seru deh,positif,id
barang cepat tuker tambah kurir ramah cuma sayang sekali bonus kartu smartfren earphone lain layar hp sedikit scre,positif,id
mantap service,positif,id
barang bagus sesuai deskripsi,positif,id
nice masalah kirim aja rada lot,positif,id
nice tingkat u layan kirim,positif,id
mantap warna merah dateng,positif,id
barang segel asli,positif,id
barang sesuai pesan mantap,positif,id
produk kirim sesuai deskripsi paket rapi cacat recommended,positif,id
produk sesuai gambar deskripsi meski kirim biru mesti hitam papa sayang pas buka plastik nya segel buka,positif,id
alhamdulillah barang tuju baik kartu garansi resmi tera terimakasih mjd toko amanah,positif,id
beli sblm jam 1200 baru kirim hari ikut sj kirim tmsk lambat,positif,id
sesuai harapanbmasih segel,positif,id
terima kasih,positif,id
alhamdulillah upgrade hp lama,positif,id
sesusai pesan c,positif,id
excellent product layan kurang order siang kirim hari sama,positif,id
barang terima cepat respon okay,positif,id
respon seller super mantap packing super aman meski buble wrap tebel banget barang original cuman kmren lama masa emas krna nyata barang,positif,id
barang oke segel kata memang advan nhha segel dri pabrik jauh sh ada kendala,positif,id
bungkus paket tebal sangat aman pas buka kok gores jam moga aja barang awet terima kasih,positif,id
overall bagus sesuai deskripsi harga saing respon jual kasih bintang 5 buat kurir nya lama 3 hari baru sampe biasa 1 hari udh sampe hadehh oke thank,positif,id
warna sesuai pesan,positif,id
produk original gin beli online kartu garansi smoga diaktifikan sistem respon slow,positif,id
produk sesuai deskripsi jual,positif,id
sesuai harga,positif,id
samsung tab nya sampe packing aman bubblewrap tebal dus penyok plastik segel harga nota beda yah hahaha proses nya k,positif,id
lambat respon kirim,positif,id
kirim cepat packing sangat aman cuman gimana gitu harga faktur lebih murah harga toped ongkir pake asuransi padahal pilih as,positif,id
coba nyalakandicoba klo ssh bintang gantikarena beli buat ibu kirim emas baik harga murahmakasi,positif,id
ko hp gampang panas y produk org kan y,positif,id
selamat tuju kamera kurang bagus,positif,id
barang sesuai deskripsi proses barang kl mohon lebih cepat kl pilih instant courier,positif,id
pas sesuai pict pesan moga berkah next order kalo bonus v,positif,id
bintang 4 dl krna kotak sedikit penyok dak robek plastik buka buat hadiah moga hp nya masalah amien,positif,id
barang bagus jauh no problem layan adminnya cukup cepet kemaren lambat kirim mungkin efek harbolnas sen numpuk jadi,positif,id
barang original packing bagus cuman charger nya pecah,positif,id
pas sujud cbacaany renti jdi sesuain letak kaki kening kpla ribet sih kirim cepat,positif,id
packing aman banget berlapis2pengiriman cepatbarang bagus invoice beda sama chek out,positif,id
barang original performa lancar layar nya bikin sakit mata,positif,id
packing kurang aman bubble tebal bagi dus tablet peyok kirim,positif,id
seller responnya lumayan proses lama order malam minggu proses senin siang sore kurir gagal pick up baru hasil pick up jelang senin malam,positif,id
kemas rapi aman kirim lumayan capat kalau hp beri earphone headset screen protection soft case,positif,id
barang original sayang warna sesuai pesan pesan hitam,positif,id
ukur sesuai garansi resmi manual booknya jelas,positif,id
sellernya produk kurang hapenya panas banget pas baru pakai,positif,id
normal semua sayang dus kata headsetnya nyata headsetnya barang lumayan aku senang ma kasih,positif,id
barang baru sampe sempat dtest cuma lama dpengiriman kmrn ganti kurir br td pagi hasil k pickup,positif,id
seller fast respon packing aman barang bagus sesuai deskripsi sayang sen warna putih kirim warna hitam untung pakai buat sendiri bukan cewek pa,positif,id
sen green sampe nya warna males ribet kirim nya kalo mo tuker yaudah gpp warna aja bnib fungsi semua normal moga awet thx,positif,id
barang terima baik moga awet,positif,id
garansi toko garansi resmi ram besar barang original baterenya awet,positif,id
bagi bawah dekat tombol home blur warna hitam,negatif,id
barang sesuai deskripsitapi barang distributor,negatif,id
payah hp mahal2 dus penyok kartu garansi1 bintang om,negatif,id
pengirimanya lama tanya baru kirim pas pese biru nya pink buta warna kali mimin nya,negatif,id
layan parah hati hati belanja sini,negatif,id
beberapa kali beli hp toko baru kali kecewa hp baru 4 hari datang udah rusak kasih saran sama toko suruh service center service cent,negatif,id
pecah tgnya bang,negatif,id
double cek jual barang hari esok krna pilih pket yes jne trnyata nyampe 2 hari kemudian tau barang bagus krna,negatif,id
kemas super tipis sebab sakit darah kemas kardus hp,negatif,id
kecewahp baru 1 hari pkelcd dah bergarisgak respon selle,negatif,id
deskripsi barang segelsaya beli 3unit buat jual lagitp malah segel dibukain buat aktifasi jual jujur,negatif,id
terima barang sama sekali,negatif,id
warna sesuai,negatif,id
pesan ke2 isi nya batu terus entah siapa salah untung asuransi rekam unbox paket sekian terima kasih,negatif,id
barang hilang uang sekarang,negatif,id
toko bertangung jawab,negatif,id
parah repack semuaaaaa,negatif,id
request invoice malah kasih,negatif,id
jangan beli deh sini masak hp baru posisi hp sesuai biasa pernah buka belum set hp lengkap kepala charger i,negatif,id
pesan hitam kirim putih,negatif,id
barang pernah nyampe,negatif,id
barang sesuai pesanana,negatif,id
barang ripek,negatif,id
note greyblue no repackeh kirim whiterepack garansi aktif sejak meiparah,negatif,id
barang imei daftar cek aplikasi devcheck nyata kamera utama cuma 12mp bukan 50mp mungkin hp nya memang asli tpi bukan real,negatif,id
2x gua order minta nota pernah kasih,negatif,id
barang bagus sesuai masalah pihak kurir si cepat alih kirim barang kurir jadi waktu kirim sangat lama tdak tracki,negatif,id
hp nya sering eror hang sering mati tiba2 pdahal baru 1 hari pake tahu pdhal wktu buka barang segel baru mhn tunjuk,negatif,id
pilih centang aplikasi toped warna grey dateng warna biru minta tukar bukan salah saya suka warna cerah p,negatif,id
barang repack,negatif,id
hmm ram 6gb kayak cuma gimmick hp nya kaya bekas dipake layar banyak gores2 memori internal nyata cuman 64 gb,negatif,id
jangan anter go send bahaya,negatif,id
dus penyok packing cuman bubble warp aja nya pake dus rasa rugi,negatif,id
peking nya kurang bagus,negatif,id
hpnya restart terus terus otomatis kalau dibiarin jadi overheat jadi hp selalu kondisi mati overheat,negatif,id
biasa aja,negatif,id
lama kurir lambat,negatif,id
admin nya blagu pake banget tanya kirim jam brp karna lewat janji jam kirim malah suruh aju cancel baru kali belanja online ketemu super som,negatif,id
baru hari beli hp restart terus cas rapat dichat sellernya read doang gajelas rugi,negatif,id
barang cacat apa ganti,negatif,id
barang bagus playanannya kurang ramah,negatif,id
barang bagus plyanannya kurang ramah,negatif,id
barang bagus playanannya kurang ramah,negatif,id
barang tiba nyala playanannya kurang ramah akhir mesti kluarkan uang buat krim oppo,negatif,id
make sure toko toko salah kirim barang balas chat nya sangat sopannsaya trima barang memang ad video unboxing makanya tanya,negatif,id
pas udah lama buka baru sadar skrg hands free kok biasa beli hp dulu hands free,negatif,id
hp baru nyala sampe 5 jam udah mati total tanya sama jual cuma suruh bawa xiaomi dekat sangat bantu sekali,negatif,id
layar screen flickering kadang muncul cahaya biru kanan kiri solusinyabdiapain ntar bintang diupdate kalau masalah udah ilang,negatif,id
unit kamera rusak buat vidio gambar semut hitam kecil blur kecewa banget,negatif,id
kata packingnya aman sekali cuma dus doang pakai bubblewarp,negatif,id
jual bohong warna beda,negatif,id
bantu dapat fail product,negatif,id
barang kosong,negatif,id
bulan sudh rusak,negatif,id
sen warna white kasih polar white mau gimana moga kali layan lebih tingkat,negatif,id
kan udah deh ketik catat kalau pesan black datang blue minta nota beli deh kasih,negatif,id
seller gede peyanan nya nol besar da ramah nya order tanya sedia warna waktu mau pilih warna sudah kasih note warna eh,negatif,id
jual cuma 1 warna pilih tampil 3 pilih putih kirim grey chat ingat kalo warna putih adminnya songong,negatif,id
layan oke lalai jual produk mode demo buat rugi ongkir waktu beli ongkir kirim barang deh,negatif,id
hp panas garansi buka bulan january 2022 beli bulan mei 2022,negatif,id
kirim lama skli pihak tokopedia waktu investigasi barang tllu lama sd 7 hari waktu tggu pdhal jelas brgnya salah alamat harus manado tpi kirim sidioa,negatif,id
repack paraaaaaahh seller penipusebelum order tanya barang repack bukanjawab bukan nyata pas cek barang udah buka bulan aprilauto hapus aplikasi,negatif,id
bintang 1 ramah charger mati guna,negatif,id
kecewa sama barang belum auto bintang 1 buat toko iniga aman beli sini,negatif,id
dapet kesbek males,negatif,id
barang repack deskripsisial kena tipu official,negatif,id
tipu lihat ulasanternyata barang repack semua,negatif,id
nyata pake simcard mau retur gaboleh,negatif,id
baru beberapa hari hp sering restart sendiri,negatif,id
beli 2 unit 30i datang 1unit 30i 1 unit kardus hp kosong tau salah jasa kirim seller pusat resolusi kirim video unboxing k,negatif,id
batrenya error cas lama penuh penuh2,negatif,id
barang terima barang hilang sicepat dana refund,negatif,id
produk jual sesuai spesifikasi tuli sama jual deskripsi iklan,negatif,id
kurir marah marah,negatif,id
dus pnya pda penyokrapping buble kurang tebal,negatif,id
official store ala ala sedih kualitas os tokopedia kayak gin packing aman cuma buble tipis banyak toko bagus non os tokopedia,negatif,id
baru bulan udah error gabisa digunain,negatif,id
baru 3 bulan pakai rusak cepat panas 5 menit pakai udh panas layar rusak padahal jatuh kecewa,negatif,id
udah tanya udah sepakat udah ngasih notes ikut no inv kirim sesuai minta,negatif,id
janji langsung kirim hari sama nyata kirim seller banyak alas,negatif,id
screen nya jelek sekali jangan beli hp tukar toko tolak saran cari hp model toko mau kerjasama,negatif,id
benar respon toko lumayan baik sayang kirim pesan pakai jasa jne sangat kecewa barang tidak kabar berita hingga lewat biasa,negatif,id
baru kali ni barang parahmgkin stok tigal 1 jadi kasih barang bekas demo displaypoto2 konter ny adad body lecetnyaplastik charger tid,negatif,id
produk sesuai kirim sangat lama sekali pakai kurir sicepat pesan tgl 5 desember 2023 barang 17 desember 2023 18 hari tuju kota medan,negatif,id
toko gajelas pesan warna hitam uda confirm hitam kirim gold recommended,negatif,id
over all 1 bener2 bikin kecewa kamera nya udah 34 kali nonton review itel s23 kamera lumayan kenapa beli kamera sangat,negatif,id
bintang 1 dlukarena bom buka dust nya,negatif,id
sehat selalu buat admin nya,negatif,id
hp beri hape bekas retur beli baru 1 bulan riwayat guna udh 6bulan cek service center itikad baik seller malah suruh service sen,negatif,id
harap hatihati beli produk xami alangkah kaget beli produk vacuum cleaner 1 tahun pakai vacuumnya rusak diservice deh,negatif,id
jasa kirim ny lama,negatif,id
sering hang cepat panas kadang keyboardnya sering hang restart ampun,negatif,id
sangat puas karna semua barang jual barang rejected masa beli hp realmi c35 baru 2 hari batrai nya boros bener bener tipu,negatif,id
jual kurang respec sama barang lama sampaisprti pasrah aja sama tokopedia baik baik aja si jual 2tokopedia sangat2 baiksaat deh komplain sama se,negatif,id
barang rejeck seller gamau tanggung jawab mau kembali malah otomatis terima sama tokpednya rekomendasi,negatif,id
pesan hilang pihak ekspedisi waktu selesai masalah sangat lama tunggu lama pesan langsung selesai pihak tokopedia konfirm,negatif,id
hp gampang panas gada esim casing belakang habis bongkar nyankut dalam case belakang liat luar barang bongkar,negatif,id
baru pertama beli official store kok gin toko lepas tangan jelas produk jual masalah baru beli terus coba nyalain hp baru cas 1x cas or,negatif,id
tahun udah masalah aja pake fingerprint fungsi lah beli akhir mei sekarang february udah rusak parah sekali,negatif,id
pilih kirim mahal biar cepat sampaiternyata sama murah,negatif,id
tim ekspedisi lambat barang hilang,negatif,id
entah sial apa pakai baru 4 hari apk baru pakai cm wa fb tbtb hp stuck logo bootloop bawa sc kota,negatif,id
kurir kirim sangat lama jual ramah bantu follow up ekspediisi padahal paket jelas masalah,negatif,id
jangan beli toko,negatif,id
ramah layan kirim lama sekarang barang masalah,negatif,id
kecewa jual mohon maaf penting layan beli fokus sistem,negatif,id
bilang nya travel charger 2x tanya jawab sama sangat yakin travel charger barang terima nyata travel,negatif,id
baru 3 hari pakai langsung layar blank kondisi hp mulai hangat kecewa kondisi buka segel,negatif,id
hp makin hari makin susah dicharge fast charging,negatif,id
barang betul dikirimpesanan selesai pihak toko kirim gojek buat ambil barang kata mau direturkatanya barang tg terima barang display kurir,negatif,id
power off guna hp mati batrei habis,negatif,id
bagi layar atas debu masuk layar sempet foto langsung jual,negatif,id
pesan warna apa kirim warna apa asal siap doank,negatif,id
jual kurang ramah bantu beli masalah kirim telat masalah kecewa kelas toko gede layan kayak giru,negatif,id
kapok belanja sini belanja toko kirim super lamakecewa berat blg barang serah proses kirim sesuai expetasi ali,negatif,id
barang orikliatan bgtmdah2an jnn ktipu,negatif,id
anda tukar produk beri 5,negatif,id
kotak handphone nya penyok penyok harus lebih bagus packing nya,negatif,id
parah kamera hancur kira hapusin game kamera bagus tobat belanja lapak bagus xiaomi langsung,negatif,id
rugi orang belanja toko lht bintang 1 nya banyak belanja tgl 6 juni uang 17 julitoko paling not rekomend tokopedia lama pe,negatif,id
adapter chargernya,negatif,id
hati2 barang bekas rusak hp nyala casing dekil bekas charger kabel komplain toko lepas tangan jgn beli toko,negatif,id
datang hp rusak,negatif,id
order sesuai warna pilih pesan warna dark blue datang warna grey,negatif,id
sensitifitas buruk bukan hp rekomend skip for this one bener rekomendasi hp nya,negatif,id
pngiriman pake nect day dapet jne yesehhh jne nya lama kirim nya,negatif,id
barang selamat info doang charger realme skrg merek supervooc dapat dalam kotak pas unboxing bukan mere,negatif,id
proses lamaklo unit kasih tau dong gan pesan biru ko kirim hitam hadeeehh,negatif,id
hp hidup restart terus cek dulu kirim gan kalau kayak gin beli rugi entah servis layan sih o,negatif,id
beli wrn gold datang wrn hitam box segel buka sana tlg tingkat kualitas qc nya sblm krm cust,negatif,id
alangkah baik wrapping plastik padahal note wrapping plastik rapih karna jual,negatif,id
pilih warna sesuai,negatif,id
speaker rusak cepet panas gampang ngelag jalanin aplikasi standar parah baterai drop,negatif,id
pabrik gimana kok casingnya banyak lem beber gitu puas jadi beli barang baru resmi garansi kok begini,negatif,id
beli hp garam proses klaim lambat dana nya jadi endap padahal butuh cepat,negatif,id
penyok barang parah masa official store begini,negatif,id
harga konsumen barang beli pake duit asa harga tu paket cuma lap bubble wrap tok minimal cari kardus bekas kek biar lebih jaga,negatif,id
pesan warna sesuai,negatif,id
hp nya masalah hari pakai tiba2 mati hidup sendiri,negatif,id
